fraction of users,seconds saved
1.000000,1.000000
1.974488,0.987469
3.001047,0.962406
4.001960,0.919799
4.933803,0.862155
5.925531,0.804511
6.932807,0.749373
7.901823,0.704261
8.773681,0.664160
10.000000,0.626566
10.816603,0.593985
11.699891,0.563910
12.655308,0.541353
13.688745,0.516291
14.806573,0.496241
15.602055,0.478697
16.876125,0.463659
17.782794,0.448622
18.738174,0.433584
19.744882,0.421053
20.805675,0.408521
22.504674,0.388471
24.342414,0.368421
27.744814,0.345865
29.235403,0.333333
31.622777,0.320802
34.205104,0.305764
36.998304,0.290727
40.019599,0.275689
44.435214,0.260652
48.063809,0.248120
50.646035,0.238095
54.781808,0.225564
59.255310,0.213033
65.793322,0.200501
71.166028,0.187970
79.018226,0.175439
85.470881,0.162907
97.417362,0.150376
116.998911,0.125313
136.887451,0.107769
164.402755,0.092732
187.381742,0.082707
219.234597,0.072682
256.502091,0.062657
308.060747,0.055138
400.195985,0.045113
