edits,p1q1,p1q10,p1q100,p1q1000,p1typofix,p2q1,p2q10,p2q100,p2q1000,p2typofix,p3q1,p3q10,p3q100,p3q1000,p3typofix
same,0.1805,0.7775,2.8138,9.3922,0.0000,0.1805,0.7775,2.8138,9.3922,0.0000,0.1805,0.7775,2.8138,9.3922,0.0000
swc-all,0.1829,0.7991,2.9173,9.7051,31.0704,0.1805,0.7847,2.9029,9.6859,28.3623,0.1805,0.7847,2.9029,9.6859,28.3623
rm-lasts,0.1829,0.8352,2.9775,10.0397,31.2534,0.1805,0.7871,2.9366,9.9266,28.5453,0.1805,0.8304,2.9727,10.0253,28.5453
swc-first,0.1877,0.8425,3.0112,10.1890,34.5105,0.1805,0.7871,2.9631,10.0662,31.5279,0.1805,0.8328,3.0016,10.1673,31.5279
cap2up,0.1877,0.8425,3.0112,10.1986,34.6569,0.1805,0.7871,2.9631,10.0734,31.6377,0.1805,0.8328,3.0016,10.1769,31.6377
rm-lastd,0.1926,0.9171,3.4084,11.8017,35.2059,0.1805,0.8328,3.2712,11.5754,32.0952,0.1902,0.9123,3.4011,11.7896,32.1317
rm-lastl,0.1926,0.9460,3.4252,11.8209,35.9012,0.1805,0.8328,3.2712,11.5874,32.7356,0.1902,0.9411,3.4204,11.8113,32.8271
sws-last1,0.2070,1.0278,3.6346,12.1723,36.2489,0.1998,0.8978,3.4348,11.8787,33.0833,0.1998,1.0182,3.6250,12.1627,33.1747
sws-lastn,0.2070,1.0278,3.6370,12.1772,36.2855,0.1998,0.8978,3.4372,11.8883,33.1199,0.1998,1.0182,3.6274,12.1675,33.2113
rm-firstc,0.2070,1.0471,3.6948,12.3745,36.4684,0.1998,0.9291,3.5046,12.0953,33.2662,0.1998,1.0374,3.6852,12.3649,33.3943
add1-last,0.2142,1.0711,3.7477,12.5262,36.7795,0.2070,0.9676,3.6178,12.3240,33.5773,0.2070,1.0615,3.7381,12.4997,33.7054
up2cap,0.2142,1.0711,3.7477,12.5310,36.8710,0.2070,0.9676,3.6178,12.3264,33.6688,0.2070,1.0615,3.7381,12.5045,33.7969
