edits,p1q1,p1q10,p1q100,p1q1000,p1typofix,p2q1,p2q10,p2q100,p2q1000,p2typofix,p3q1,p3q10,p3q100,p3q1000,p3typofix
same,0.0341,1.0542,1.5912,3.1655,0.0000,0.0341,1.0542,1.5912,3.1655,0.0000,0.0341,1.0542,1.5912,3.1655,0.0000
swc-all,0.0353,0.1696,1.6233,3.3189,31.0704,0.0341,0.1648,1.6108,3.2197,28.3623,0.0341,0.1648,1.6108,3.2197,28.3623
rm-lasts,0.0353,0.3218,1.7037,3.7200,31.2534,0.0341,0.1640,1.6940,3.4728,28.5453,0.0341,0.3180,1.6977,3.6986,28.5453
swc-first,0.0367,0.3373,1.8653,3.9784,34.5105,0.0341,0.1737,1.6712,3.4833,31.5279,0.0341,0.3322,1.8889,3.9298,31.5279
cap2up,0.0367,0.3239,1.8952,4.0512,34.6569,0.0341,0.1740,1.7016,3.5107,31.6377,0.0341,0.3187,1.8897,3.9543,31.6377
rm-lastd,0.0368,0.4205,2.5818,5.9876,35.2059,0.0341,0.1831,1.8634,4.7175,32.0952,0.0347,0.4156,2.4932,5.8490,32.1317
rm-lastl,0.0368,1.3127,2.7415,6.0360,35.9012,0.0341,0.1832,1.8922,4.5814,32.7356,0.0347,1.3078,2.7359,5.9635,32.8271
sws-last1,0.2213,1.5158,3.1352,6.7933,36.2489,0.0362,0.2040,2.0856,4.7906,33.0833,0.0362,1.3280,3.0945,6.6328,33.1747
sws-lastn,0.2213,1.5163,3.0529,6.6429,36.2855,0.0362,0.2026,2.1445,4.7281,33.1199,0.0362,1.3284,2.8367,6.3417,33.2113
rm-firstc,0.2213,1.5103,3.0661,6.5522,36.4684,0.0363,0.2018,2.1439,4.7445,33.2662,0.0363,1.3225,3.0326,6.4322,33.3943
add1-last,0.2226,1.5130,3.2523,6.9878,36.7795,0.0376,0.2822,2.4992,5.4353,33.5773,0.0376,1.3251,3.2027,6.7581,33.7054
up2cap,0.2226,1.5130,3.2991,6.9922,36.8710,0.0376,0.2822,2.4986,5.4185,33.6688,0.0376,1.3251,3.0403,6.5765,33.7969
