edits,p1q1,p1q10,p1q100,p1q1000,p1typofix,p2q1,p2q10,p2q100,p2q1000,p2typofix,p3q1,p3q10,p3q100,p3q1000,p3typofix
same,0.8921,1.8603,4.3025,10.7653,0.0000,0.8921,1.8603,4.3025,10.7653,0.0000,0.8921,1.8603,4.3025,10.7653,0.0000
swc-all,0.8921,1.8790,4.3973,11.0877,31.0704,0.8921,1.8625,4.3321,10.9747,28.3623,0.8921,1.8625,4.3321,10.9747,28.3623
rm-lasts,0.8924,1.8799,4.3991,11.0947,31.2534,0.8921,1.8627,4.3325,10.9785,28.5453,0.8924,1.8713,4.3538,11.0158,28.5453
swc-first,0.8924,1.8873,4.4512,11.2611,34.5105,0.8921,1.8634,4.3463,11.0756,31.5279,0.8924,1.8724,4.3689,11.1149,31.5279
cap2up,0.8924,1.8873,4.4515,11.2615,34.6569,0.8921,1.8634,4.3463,11.0757,31.6377,0.8924,1.8724,4.3690,11.1150,31.6377
rm-lastd,0.9587,2.0562,4.7724,12.0068,35.2059,0.8921,1.8992,4.4502,11.5019,32.0952,0.8934,1.9729,4.7333,11.9952,32.1317
rm-lastl,0.9587,2.0694,4.8372,12.1824,35.9012,0.8921,1.9019,4.4945,11.6508,32.7356,0.8996,1.9906,4.8006,12.1630,32.8271
sws-last1,0.9587,2.0786,4.8620,12.2451,36.2489,0.8921,1.9037,4.5051,11.6951,33.0833,0.8996,1.9970,4.8242,12.2243,33.1747
sws-lastn,0.9588,2.0788,4.8622,12.2470,36.2855,0.8930,1.9051,4.5069,11.6987,33.1199,0.8996,1.9971,4.8243,12.2261,33.2113
rm-firstc,0.9618,2.0974,4.9070,12.3289,36.4684,0.8930,1.9350,4.5467,11.7703,33.2662,0.9040,2.0177,4.8718,12.3053,33.3943
add1-last,0.9619,2.1240,5.0306,12.6702,36.7795,0.8934,1.9717,4.8293,12.4015,33.5773,0.9040,2.0352,4.9466,12.5669,33.7054
up2cap,0.9619,2.1240,5.0306,12.6703,36.8710,0.8934,1.9717,4.8293,12.4015,33.6688,0.9040,2.0352,4.9466,12.5683,33.7969
