edits,p1q1,p1q10,p1q100,p1q1000,p1typofix,p2q1,p2q10,p2q100,p2q1000,p2typofix,p3q1,p3q10,p3q100,p3q1000,p3typofix
same,0.0316,0.2017,0.5337,1.5855,0.0000,0.0316,0.2017,0.5337,1.5855,0.0000,0.0316,0.2017,0.5337,1.5855,0.0000
swc-all,0.0316,0.2017,0.5337,1.5855,31.0704,0.0316,0.2017,0.5337,1.5855,28.3623,0.0316,0.2017,0.5337,1.5855,28.3623
rm-lasts,0.0316,0.2022,0.5345,1.5863,31.2534,0.0316,0.2022,0.5345,1.5863,28.5453,0.0316,0.2022,0.5345,1.5863,28.5453
swc-first,0.0316,0.2022,0.5345,1.5863,34.5105,0.0316,0.2022,0.5345,1.5863,31.5279,0.0316,0.2022,0.5345,1.5863,31.5279
cap2up,0.0316,0.2022,0.5345,1.5863,34.6569,0.0316,0.2022,0.5345,1.5863,31.6377,0.0316,0.2022,0.5345,1.5863,31.6377
rm-lastd,0.0396,0.2517,0.5553,1.6049,35.2059,0.0379,0.2435,0.5535,1.6039,32.0952,0.0379,0.2437,0.5535,1.6039,32.1317
rm-lastl,0.0504,0.2599,0.5975,2.0886,35.9012,0.0379,0.2472,0.5769,2.0740,32.7356,0.0504,0.2599,0.5975,2.0886,32.8271
sws-last1,0.0504,0.2602,0.5979,2.0890,36.2489,0.0379,0.2475,0.5772,2.0744,33.0833,0.0504,0.2602,0.5979,2.0890,33.1747
sws-lastn,0.0504,0.2641,0.6020,2.0921,36.2855,0.0379,0.2475,0.5832,2.0788,33.1199,0.0504,0.2602,0.6020,2.0921,33.2113
rm-firstc,0.0695,0.3002,0.6680,2.3460,36.4684,0.0423,0.2955,0.6570,2.3408,33.2662,0.0695,0.2977,0.6689,2.3448,33.3943
add1-last,0.0695,0.3002,0.6672,2.3471,36.7795,0.0423,0.2955,0.6570,2.3408,33.5773,0.0695,0.2977,0.6689,2.3459,33.7054
up2cap,0.0695,0.3002,0.6672,2.3471,36.8710,0.0423,0.2955,0.6570,2.3408,33.6688,0.0695,0.2977,0.6689,2.3459,33.7969
