edits,p1q1,p1q10,p1q100,p1q1000,p1typofix,p2q1,p2q10,p2q100,p2q1000,p2typofix,p3q1,p3q10,p3q100,p3q1000,p3typofix
same,0.8921,0.8983,1.4887,1.6308,0.0000,0.8921,0.8983,1.4887,1.6308,0.0000,0.8921,0.8983,1.4887,1.6308,0.0000
swc-all,0.8921,0.8990,1.4890,1.6320,31.0704,0.8921,0.8990,1.4890,1.6320,28.3623,0.8921,0.8990,1.4890,1.6320,28.3623
rm-lasts,0.8921,0.8983,1.4887,1.6317,31.2534,0.8921,0.8983,1.4882,1.6312,28.5453,0.8921,0.8983,1.4882,1.6312,28.5453
swc-first,0.8921,0.8983,1.4887,1.6317,34.5105,0.8921,0.8983,1.4882,1.6312,31.5279,0.8921,0.8983,1.4882,1.6312,31.5279
cap2up,0.8921,0.8983,1.4887,1.6317,34.6569,0.8921,0.8983,1.4882,1.6312,31.6377,0.8921,0.8983,1.4882,1.6312,31.6377
rm-lastd,0.9587,1.2648,1.5000,1.6930,35.2059,0.0011,1.1616,1.4937,1.6800,32.0952,0.0011,1.1995,1.4911,1.6774,32.1317
rm-lastl,0.8929,1.2023,1.5692,1.6830,35.9012,0.0011,1.1353,1.5414,1.6692,32.7356,0.8929,1.2023,1.5687,1.6825,32.8271
sws-last1,0.8926,1.2020,1.5688,1.6636,36.2489,0.0019,1.1352,1.5415,1.6643,33.0833,0.8926,1.2020,1.5683,1.6631,33.1747
sws-lastn,0.8929,1.2654,1.5819,1.6922,36.2855,0.0019,1.1363,1.5537,1.6944,33.1199,0.8929,1.2022,1.5791,1.6895,33.2113
rm-firstc,0.8940,1.2665,1.5817,1.6729,36.4684,0.0019,1.1373,1.5179,1.6808,33.2662,0.8940,1.2029,1.5809,1.6722,33.3943
add1-last,0.8940,1.2666,1.5857,1.6770,36.7795,0.0019,1.1377,1.5199,1.6830,33.5773,0.8940,1.2029,1.5809,1.6722,33.7054
up2cap,0.8940,1.2666,1.5857,1.6770,36.8710,0.0019,1.1377,1.5199,1.6830,33.6688,0.8940,1.2029,1.5809,1.6722,33.7969
